"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"광주광역시 광산구 평동주민센터 회의실(2증)",광주광역시 광산구 평동주민센터,회의실,법정 공휴일,09:00,18:00,13:00,17:00,N,,,,,40,225,"음향, 빔프로젝트, 냉난방","전화, 방문",,광주광역시 광산구 평동로 790,평동주민센터,평동주민센터,062-960-7847,,35.1245771,126.7602576,2015-09-18
"광주광역시 광산구 하남동주민센터 다목적실(2층)",광주광역시 광산구 하남동주민센터,회의실,"매주 토,일요일, 법정 공휴일",14:00,18:00,00:00,00:00,N,,,,,100,288,"음향, 빔프로젝트, 단상, 사회대, 의자","전화, 방문",,광주광역시 광산구 하남대로54번길 15,하남동주민센터,하남동주민센터,062-960-7815,,35.1793465,126.8000314,2015-09-18
"광주광역시 북구 중흥1동 주민자치센터 문화소통실",광주광역시 북구 중흥1동 주민자치센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,17:00,00:00,00:00,N,,,,,15,30,"장기판, 바둑판, 의자, 소파",방문,,광주광역시 북구 중흥로183번길 7,중흥1동주민센터,중흥1동주민센터,062-410-8604,,35.1616289,126.9139818,2015-09-18
"광주광역시 광산구민회관 대회의실",광주광역시 광산구민회관,회의실,법정 공휴일,09:00,22:00,09:00,22:00,N,4,50000,,,150,959,"음향, 냉난방, 조명, 주차장","전화,방문",,광주광역시 광산구 상무대로 265,광주광역시 광산구청,구민회관,062-960-8969,,35.1425345,126.7951313,2015-09-18
"광주광역시 광산구 장애인복지관 프로그램실",광주광역시 광산구 장애인복지관,회의실,"매주 일요일, 법정 공휴일",09:30,18:00,09:00,12:30,Y,1,30000,1,6000,15,70,"빔프로젝트, 냉난방","전화, 방문",,광주광역시 광산구 무진대로 276,광주광역시 광산구청,광산구장애인복지관,062-943-0420,,35.1608749,126.8106521,2015-09-18
"광주광역시 광산구청 대회의실",광주광역시 광산구청,회의실,"월~금, 법정 공휴일",00:00,00:00,09:00,18:00,N,,,,,400,576,"음향, 빔프로젝트, 냉난방, 조명, 컴퓨터","전화,방문",,광주광역시 광산구 광산로29번길 15,광주광역시 광산구청,행정지원과,062-960-8085,,35.1397215,126.7937002,2015-09-18
"광주광역시 행복나루노인복지관 국화실",광주광역시 행복나루노인복지관,회의실,"매주 일요일, 법정 공휴일",09:00,18:00,09:00,12:00,N,,,,,30,76,"음향, 빔프로젝트, 냉난방, 조명, 무대","전화,방문",,광주광역시 광산구 송정로52번길 20,광주광역시 광산구청,광산구행복나루노인복지관,062-942-3663,,35.1347525,126.7953579,2016-02-20
"광주광역시 행복나루노인복지관 태화홀",광주광역시 행복나루노인복지관,회의실,"매주 일요일, 법정 공휴일",09:00,18:00,09:00,12:00,N,,,,,15,42,"음향, 빔프로젝트, 냉난방, 컴퓨터","전화,방문",,광주광역시 광산구 송정로52번길 20,광주광역시 광산구청,광산구행복나루노인복지관,062-942-3663,,35.1347525,126.7953579,2016-02-20
"광주광역시 더불어락 노인복지관 다목적실",광주광역시 더불어락 노인복지관,회의실,"매주 일요일, 법정 공휴일",09:00,21:00,09:00,18:00,Y,2,30000,,,40,146,"음향, 빔프로젝트, 냉난방, 컴퓨터","전화,방문",,광주광역시 광산구 목련로 156,광주광역시 광산구청,광산구더불어락노인복지관,062-960-3902,,35.1706806,126.8164206,2015-09-18
"광주광역시 더불어락 노인복지관 자주의방",광주광역시 더불어락 노인복지관,회의실,"매주 일요일, 법정 공휴일",09:00,21:00,09:00,18:00,Y,2,30000,,,30,72,"음향, 빔프로젝트, 냉난방, 컴퓨터","전화,방문",,광주광역시 광산구 목련로 156,광주광역시 광산구청,광산구더불어락노인복지관,062-960-3902,,35.1706806,126.8164206,2015-09-18
"광주광역시 더불어락 노인복지관 협동의방",광주광역시 더불어락 노인복지관,회의실,"매주 일요일, 법정 공휴일",09:00,21:00,09:00,18:00,Y,2,30000,,,20,59,"음향, 빔프로젝트, 냉난방, 컴퓨터","전화,방문",,광주광역시 광산구 목련로 156,광주광역시 광산구청,광산구더불어락노인복지관,062-960-3902,,35.1706806,126.8164206,2015-09-18
"광주광역시 더불어락 노인복지관 공생의방",광주광역시 더불어락 노인복지관,회의실,"매주 일요일, 법정 공휴일",09:00,21:00,09:00,18:00,Y,2,30000,,,30,75,"음향, 빔프로젝트, 냉난방, 컴퓨터","전화,방문",,광주광역시 광산구 목련로 156,광주광역시 광산구청,광산구더불어락노인복지관,062-960-3902,,35.1706806,126.8164206,2015-09-18
"광주광역시 어등지역자활센터 교육장",광주광역시 어등지역자활센터,회의실,"월~금, 법정 공휴일",00:00,00:00,09:00,18:00,N,,,,,60,120,"음향, 빔프로젝트, 냉난방, 조명, 정수기","전화, 방문",,광주광역시 광산구 우산로85번길 25,광주광역시 광산구청,광주광산어등지역자활센터,062-941-5051,,35.1577676,126.8094351,2015-09-18
"광주광역시 송광종합사회복지관 한사랑방",광주광역시 송광종합사회복지관,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,Y,1,50000,1,25000,70,153,"음향, 빔프로젝트, 냉난방, 조명","전화,방문",,광주광역시 광산구 우산로 17,광주광역시도시공사,송광종합사회복지관,062-941-8248,,35.1594312,126.8030010,2015-09-18
"광주광역시 첨단종합사회복지관 다용도실(2층)",광주광역시 첨단종합사회복지관,회의실,"매주 일요일, 법정 공휴일",09:00,18:00,09:00,13:00,N,,,,,80,196,"음향, 냉난방",방문,,광주광역시 광산구 첨단중앙로 160,광주광역시 광산구청,첨단종합사회복지관,062-971-9500,,35.2194922,126.8424088,2015-09-18
"광주광역시 첨단종합사회복지관 프로그램실(2-1)",광주광역시 첨단종합사회복지관,회의실,"매주 일요일, 법정 공휴일",09:00,18:00,09:00,13:00,N,,,,,24,32,"책상, 의자, 화이트보드, 냉난방",방문,,광주광역시 광산구 첨단중앙로 160,광주광역시 광산구청,첨단종합사회복지관,062-971-9500,,35.2194922,126.8424088,2015-09-18
"광주광역시 첨단종합사회복지관 프로그램실(2-2)",광주광역시 첨단종합사회복지관,회의실,"매주 일요일, 법정 공휴일",09:00,18:00,09:00,13:00,N,,,,,24,32,"책상, 의자, 화이트보드, 냉난방",방문,,광주광역시 광산구 첨단중앙로 160,광주광역시 광산구청,첨단종합사회복지관,062-971-9500,,35.2194922,126.8424088,2015-09-18
"광주광역시 첨단종합사회복지관 프로그램실(2-3)",광주광역시 첨단종합사회복지관,회의실,"매주 일요일, 법정 공휴일",09:00,18:00,09:00,13:00,N,,,,,24,43,"책상, 의자, 냉난방, 수도시설",방문,,광주광역시 광산구 첨단중앙로 160,광주광역시 광산구청,첨단종합사회복지관,062-971-9500,,35.2194922,126.8424088,2015-09-18
"광주광역시 북구 중앙동 주민자치센터 회의실",광주광역시 북구 중앙동 주민자치센터,회의실,"매주 토,일요일, 법정 공휴일",14:00,18:00,00:00,00:00,N,,,,,30,60,"책상, 의자, 냉난방","방문, 전화",,광주광역시 북구 금재로 30,중앙동주민센터,중앙동주민센터,062-410-8639,,35.1573202,126.9066514,2015-09-18
"광주광역시 첨단종합사회복지관 프로그램실(4-1)",광주광역시 첨단종합사회복지관,회의실,"매주 일요일, 법정 공휴일",09:00,18:00,09:00,13:00,N,,,,,42,65,"책상, 의자, 화이트보드, 냉난방",방문,,광주광역시 광산구 첨단중앙로 160,광주광역시 광산구청,첨단종합사회복지관,062-971-9500,,35.2194922,126.8424088,2015-09-18
"광주광역시 첨단종합사회복지관 프로그램실(4-2)",광주광역시 첨단종합사회복지관,회의실,"매주 일요일, 법정 공휴일",09:00,18:00,09:00,13:00,N,,,,,36,43,"책상, 의자, 화이트보드, 냉난방",방문,,광주광역시 광산구 첨단중앙로 160,광주광역시 광산구청,첨단종합사회복지관,062-971-9500,,35.2194922,126.8424088,2015-09-18
"광주광역시 광산구 공익활동지원센터 프로그램실",광주광역시 광산구 공익활동지원센터,회의실,"매주 일요일, 법정 공휴일",09:00,21:00,10:00,17:00,Y,3,50000,,,20,142,"빔프로젝트, 스크린, 화이트보드","전화,방문",,광주광역시 광산구 장덕로96번길 15,광주광역시 광산구청,광산구공익활동지원센터,062-959-8525,,35.1929312,126.8195864,2015-09-18
"광주광역시 광산구 공익활동지원센터 소모임실",광주광역시 광산구 공익활동지원센터,회의실,"매주 일요일, 법정 공휴일",09:00,21:00,10:00,17:00,Y,3,50000,,,15,39,"탁자, 의자, 화이트보드","전화,방문",,광주광역시 광산구 장덕로96번길 15,광주광역시 광산구청,광산구공익활동지원센터,062-959-8525,,35.1929312,126.8195864,2015-09-18
"광주광역시 광산구 도산동주민센터 회의실",광주광역시 광산구 도산동주민센터,회의실,"매주 일요일, 법정 공휴일",10:00,17:00,00:00,00:00,N,,,,,80,89,"음향, 냉난방, 조명, 주차장",방문,,광주광역시 광산구 도산로 12,도산동주민센터,도산동주민센터,062-960-7623,,35.1294537,126.7916880,2015-09-18
"광주광역시 광산구 동곡동주민센터 회의실(2층)",광주광역시 광산구 동곡동주민센터,회의실,"매주 일요일, 법정 공휴일",10:00,17:00,00:00,00:00,N,,,,,100,166,"빔프로젝트, 책상, 의자, 마이크","전화, 방문",,광주광역시 광산구 동곡로 151-56,동곡동주민센터,동곡동주민센터,062-960-7836,,35.0986392,126.7721248,2015-09-18
"광주광역시 광산구 본량동 주민센터 회의실",광주광역시 광산구 본량동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,30,24,"음향, 냉난방기, 책상, 의자","전화,방문",,광주광역시 광산구 용진로 379,본량동주민센터,본량동주민센터,062-960-7869,,35.1806814,126.7288167,2015-09-18
"광주광역시 광산구 비아동 주민센터 주민자치방",광주광역시 광산구 비아동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,30,40,"빔프로젝트, 음향, 테이블","전화, 방문",,광주광역시 광산구 비아중앙로31번길 6,비아동주민센터,비아동주민센터,062-960-7969,,35.2220825,126.8243314,2015-09-18
"광주광역시 광산구 삼도동 주민센터 주민자치방",광주광역시 광산구 삼도동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,20,104,"냉난방, 조명, 탁구대",방문,,광주광역시 광산구 오운로 433-1,삼도동주민센터,삼도동주민센터,062-960-7857,,35.1621694,126.6976068,2015-09-18
"광주광역시 광산구 수완동주민센터 회의실(3층)",광주광역시 광산구 수완동주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,150,253,"음향, 빔프로젝트, 냉난방, 조명","전화,방문",,광주광역시 광산구 장덕로 158,수완동주민센터,수완동주민센터,062-960-7793,,35.1982207,126.8286948,2015-09-18
"광주광역시 광산구 신가동 주민센터 회의실",광주광역시 광산구 신가동 주민센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,50,200,"음향, 냉난방, 사회대, 책상, 의자","방문,전화",,광주광역시 광산구 신가로 30,신가동주민센터,신가동주민센터,062-960-7746,,35.1816767,126.8276627,2015-09-18
"광주광역시 청소년문화의집 다목적홀",광주광역시 청소년문화의집,회의실,"매주 월요일, 법정 공휴일",10:00,21:00,10:00,18:00,Y,4,60000,,,50,156,"음향, 빔프로젝트, 냉난방, 주차장",방문,,광주광역시 서구 화정로179번길 63,흥사단광주지부,청소년문화의집,062-375-1324,,35.1507753,126.8757308,2015-09-18
"광주광역시 청소년문화의집 다용도실",광주광역시 청소년문화의집,회의실,"매주 월요일, 법정 공휴일",10:00,21:00,10:00,18:00,Y,1,10000,,,20,47,"냉난방, 주차장",방문,,광주광역시 서구 화정로179번길 63,흥사단광주지부,청소년문화의집,062-375-1324,,35.1507753,126.8757308,2015-09-18
"광주광역시 청소년수련원 다목적실",광주광역시 청소년수련원,회의실,없음,09:00,18:00,13:00,18:00,Y,1,10000,,,15,105,"음향, 빔프로젝트, 냉난방, 주차장",,,광주광역시 서구 학생독립로 37,살레시오수녀회,청소년수련원,062-373-0942,,35.1419996,126.8672318,2015-09-18
"광주광역시 5.18교육관 대강의실",광주광역시 5.18교육관,회의실,없음,09:00,18:00,09:00,18:00,Y,2,15000,,,109,173,"음향, 빔프로젝트, 냉난방, 조명, 주차장","전화, 방문",,광주광역시 서구 상무누리로 78,5.18구속부상자회,5.18민주화운동 교육관,062-372-5180,,35.1498036,126.8398793,2015-09-18
"광주광역시 5.18교육관 중강의실",광주광역시 5.18교육관,회의실,없음,09:00,18:00,09:00,18:00,Y,2,10000,,,50,99,"음향, 빔프로젝트, 냉난방, 조명, 주차장","전화, 방문",,광주광역시 서구 상무누리로 78,5.18구속부상자회,5.18민주화운동 교육관,062-372-5180,,35.1498036,126.8398793,2015-09-18
"광주광역시 5.18교육관 세미나1실",광주광역시 5.18교육관,회의실,없음,09:00,18:00,09:00,18:00,Y,2,3000,,,20,39,"빔프로젝트, 냉난방, 조명, 주차장","전화, 방문",,광주광역시 서구 상무누리로 78,5.18구속부상자회,5.18민주화운동 교육관,062-372-5180,,35.1498036,126.8398793,2015-09-18
"광주광역시 5.18교육관 세미나2실",광주광역시 5.18교육관,회의실,없음,09:00,18:00,09:00,18:00,Y,2,3000,,,20,39,"빔프로젝트, 냉난방, 조명, 주차장","전화, 방문",,광주광역시 서구 상무누리로 78,5.18구속부상자회,5.18민주화운동 교육관,062-372-5180,,35.1498036,126.8398793,2015-09-18
"광주광역시 5.18교육관 세미나3실",광주광역시 5.18교육관,회의실,없음,09:00,18:00,09:00,18:00,Y,2,2000,,,10,20,"빔프로젝트, 냉난방, 조명, 주차장","전화, 방문",,광주광역시 서구 상무누리로 78,5.18구속부상자회,5.18민주화운동 교육관,062-372-5180,,35.1498036,126.8398793,2015-09-18
"광주광역시 5.18교육관 세미나4실",광주광역시 5.18교육관,회의실,없음,09:00,18:00,09:00,18:00,Y,2,2000,,,10,20,"빔프로젝트, 냉난방, 조명, 주차장","전화, 방문",,광주광역시 서구 상무누리로 78,5.18구속부상자회,5.18민주화운동 교육관,062-372-5180,,35.1498036,126.8398793,2015-09-18
"광주광역시 하남근로자종합복지관 대회의실",광주광역시 하남근로자종합복지관,회의실,없음,09:00,20:00,09:00,12:00,Y,2,30000,,,300,333,"음향, 빔프로젝트, 냉난방, 조명, 주차장",방문,,광주광역시 광산구 하남산단3번로 133-8,하남산업단지관리공단,하남산업단지관리공단,062-951-9461,,35.1900557,126.8091674,2015-09-18
"광주광역시 임동근로자종합복지관 대회의실",광주광역시 임동근로자종합복지관,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,Y,4,22000,,,120,137,"음향, 빔프로젝트, 냉난방, 조명","방문, 전화",,광주광역시 북구 서림로 94-7,임동근로자복지회관,임동근로자복지회관,062-383-3603,,35.1629116,126.8967329,2015-09-18
"광주광역시청 시민숲둥지",광주광역시청,회의실,없음,09:00,21:00,09:00,18:00,N,,,,,60,135,"음향, 빔드로젝트, 냉난방, 조명",전화 후 FAX신청,,광주광역시 서구 내방로 111,광주광역시청,회계과,062-613-3104,,35.1596113,126.8523491,2016-02-10
"광주광역시 국민생활관 세미나실",광주광역시 국민생활관,회의실,없음,06:00,22:00,06:00,22:00,Y,,,,,180,688,주차장,"팩스, 방문",,광주광역시 서구 금화로278,광주광역시체육회,염주체육시설관리팀,062-604-2813,,35.1347737,126.8794039,2015-09-18
"광주광역시 서부농수산물도매시장 대회의실",광주광역시 서부농수산물도매시장,회의실,"매주 토,일요일, 법정 공휴일",10:00,17:00,00:00,00:00,N,,,,,50,210,"음향, 빔프로젝트, 주차장",방문,,광주광역시 서구 매월2로 16,서부농수산물도매시장,관리사무소,062-613-5475,,35.1158490,126.8572777,2015-09-18
"광주광역시 각화동농산물도매시장 소회의실",광주광역시 각화동농산물도매시장,회의실,"매주 토,일요일, 법정 공휴일",09:30,17:30,00:00,00:00,N,,,,,50,83,"음향, 냉난방, 주차장","전화, 방문",,광주광역시 북구 동문대로 260,각화동농산물도매시장,관리사무소,062-613-5521,,35.1843790,126.9343873,2015-09-18
"광주광역시 김치타운 세미나실",광주광역시 김치타운,회의실,"매주 토,일요일, 법정 공휴일",09:30,17:30,00:00,00:00,Y,,,,,150,189,"음향, 냉난방, 주차장","전화, 방문",,광주광역시 서구 김치로 60,김치타운관리사무소,관리사무소,062-613-8214,,35.1051671,126.8673959,2015-09-18
"광주광역시 김치타운 다목적실",광주광역시 김치타운,회의실,"매주 토,일요일, 법정 공휴일",09:30,17:30,00:00,00:00,Y,,,,,80,146,"음향, 냉난방, 주차장","전화, 방문",,광주광역시 서구 김치로 60,김치타운관리사무소,관리사무소,062-613-8214,,35.1051671,126.8673959,2015-09-18
"김대중컨벤션센터 중소회의실 2층 (201~213호)",김대중컨벤션센터,회의실,없음,09:00,21:00,09:00,21:00,Y,,,,,350,767,주차장,"전화, 방문",,광주광역시 서구 상무누리로 30,김대중컨벤션센터,김대중컨벤션센터,062-611-2226,,35.1467445,126.8409323,2015-09-18
"김대중컨벤션센터 중소회의실 3층 (301호~307호)",김대중컨벤션센터,회의실,없음,09:00,21:00,09:00,21:00,Y,,,,,600,2767,주차장,"전화, 방문",,광주광역시 서구 상무누리로 30,김대중컨벤션센터,김대중컨벤션센터,062-611-2226,,35.1467445,126.8409323,2015-09-18
"김대중컨벤션센터 중소회의실 3층 (C308~C312)",김대중컨벤션센터,회의실,없음,09:00,21:00,09:00,21:00,Y,,,,,250,519,주차장,"전화, 방문",,광주광역시 서구 상무누리로 30,김대중컨벤션센터,김대중컨벤션센터,062-611-2226,,35.1467445,126.8409323,2015-09-18
"김대중컨벤션센터 다목적홀",김대중컨벤션센터,회의실,없음,09:00,21:00,09:00,21:00,Y,,,,,3000,2955,주차장,"전화, 방문",,광주광역시 서구 상무누리로 30,김대중컨벤션센터,김대중컨벤션센터,062-611-2226,,35.1467445,126.8409323,2015-09-18
"광주테크노파크 대회의실",광주테크노파크,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,Y,2,100000,1,30000,150,238,"음향, 빔프로젝트, 냉난방, 조명",전화문의 후 FAX,,광주광역시 북구 첨단과기로 333,광주테크노파크,재무관리부,062-602-7734,,35.2293260,126.8618778,2016-02-10
"광주테크노파크  IT교육실",광주테크노파크,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,Y,2,100000,1,30000,23,76,"음향, 빔프로젝트, 냉난방, 조명",전화문의 후 FAX,,광주광역시 북구 첨단과기로 333,광주테크노파크,재무관리부,062-602-7734,,35.2293260,126.8618778,2016-02-10
"광주테크노파크 제1회의실",광주테크노파크,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,Y,2,80000,1,20000,30,93,"음향, 빔프로젝트, 냉난방, 조명",전화문의 후 FAX,,광주광역시 북구 첨단과기로 333,광주테크노파크,재무관리부,062-602-7734,,35.2293260,126.8618778,2016-02-10
"광주테크노파크 제2회의실",광주테크노파크,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,Y,2,80000,1,20000,50,145,"음향, 빔프로젝트, 냉난방, 조명",전화문의 후 FAX,,광주광역시 북구 첨단과기로 333,광주테크노파크,재무관리부,062-602-7734,,35.2293260,126.8618778,2016-02-10
"광주테크노파크 제3회의실",광주테크노파크,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,Y,2,80000,1,20000,18,96,"음향, 빔프로젝트, 냉난방, 조명",전화문의 후 FAX,,광주광역시 북구 첨단과기로 333,광주테크노파크,재무관리부,062-602-7734,,35.2293260,126.8618778,2016-02-10
"광주테크노파크 제4회의실",광주테크노파크,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,Y,2,80000,1,20000,50,89,"음향, 빔프로젝트, 냉난방, 조명",전화문의 후 FAX,,광주광역시 북구 첨단과기로 333,광주테크노파크,재무관리부,062-602-7734,,35.2293260,126.8618778,2016-02-10
"광주경제고용진흥원 세미나실",광주경제고용진흥원,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,Y,8,132000,,,80,434,"음향, 빔프로젝트, 냉난방, 주차장",인터넷,,광주광역시 광산구 하남산단8번로177,광주경제고용진흥원,기획관리부,062-960-2611,,35.2093146,126.8152704,2015-09-18
"광주디자인센터 대회의실",광주디자인센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,Y,2,120000,1,30000,40,211,"음향, 빔프로젝트, 냉난방, 조명",인터넷,,광주광역시 북구 첨단과기로176번길 27,광주디자인센터,경영지원팀,062-611-5014,,35.2238269,126.8468487,2015-09-18
"광주디자인센터 대세미나실",광주디자인센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,Y,2,80000,,,40,118,"음향, 빔프로젝트, 냉난방, 조명",인터넷,,광주광역시 북구 첨단과기로176번길 27,광주디자인센터,경영지원팀,062-611-5014,,35.2238269,126.8468487,2015-09-18
"광주디자인센터 중세미나실",광주디자인센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,Y,2,60000,2,15000,20,70,"음향, 빔프로젝트, 냉난방, 조명",인터넷,,광주광역시 북구 첨단과기로176번길 27,광주디자인센터,경영지원팀,062-611-5014,,35.2238269,126.8468487,2015-09-18
"광주광역시 과학기술교류협력센터 국제회의실(12F)",광주광역시 과학기술교류협력센터,회의실,없음,09:00,20:00,09:00,18:00,Y,2,550000,1,110000,450,548,"음향, 빔프로젝트, 정수기, 냉난방, 조명, 주차장","인터넷,전화,방문",,광주광역시 북구 첨단과기로 339,과학기술교류협력센터,교류센터,062-609-0500,,35.2293260,126.8618778,2015-09-18
"광주광역시 과학기술교류협력센터 대회의실(2F)",광주광역시 과학기술교류협력센터,회의실,없음,09:00,20:00,09:00,18:00,Y,2,330000,1,66000,100,194,"음향, 빔프로젝트, 정수기, 냉난방, 조명, 주차장","인터넷,전화,방문",,광주광역시 북구 첨단과기로 339,과학기술교류협력센터,교류센터,062-609-0500,,35.2293260,126.8618778,2015-09-18
"광주광역시 과학기술교류협력센터 중회의실A (2F)",광주광역시 과학기술교류협력센터,회의실,없음,09:00,20:00,09:00,18:00,Y,2,220000,1,44000,80,101,"음향, 빔프로젝트, 정수기, 냉난방, 조명, 주차장","인터넷,전화,방문",,광주광역시 북구 첨단과기로 339,과학기술교류협력센터,교류센터,062-609-0500,,35.2293260,126.8618778,2015-09-18
"광주광역시 과학기술교류협력센터 중회의실B (2F)",광주광역시 과학기술교류협력센터,회의실,없음,09:00,20:00,09:00,18:00,Y,2,220000,1,44000,40,99,"음향, 빔프로젝트, 정수기, 냉난방, 조명, 주차장","인터넷,전화,방문",,광주광역시 북구 첨단과기로 339,과학기술교류협력센터,교류센터,062-609-0500,,35.2293260,126.8618778,2015-09-18
"광주광역시 과학기술교류협력센터 중회의실C (2F)",광주광역시 과학기술교류협력센터,회의실,없음,09:00,20:00,09:00,18:00,Y,2,220000,1,44000,40,99,"음향, 빔프로젝트, 정수기, 냉난방, 조명, 주차장","인터넷,전화,방문",,광주광역시 북구 첨단과기로 339,과학기술교류협력센터,교류센터,062-609-0500,,35.2293260,126.8618778,2015-09-18
